enzyme	SEED_subsystem	SEED_subsystem_functional_category	description	rel_abundance_SRR29355722	reads_SRR29355722	rel_abundance_SRR29355723	reads_SRR29355723	rel_abundance_SRR29355724	reads_SRR29355724	rel_abundance_SRR29355725	reads_SRR29355725	rel_abundance_SRR29355726	reads_SRR29355726	rel_abundance_SRR29355727	reads_SRR29355727	rel_abundance_SRR29355728	reads_SRR29355728	rel_abundance_SRR29355729	reads_SRR29355729	rel_abundance_SRR29355730	reads_SRR29355730	rel_abundance_SRR29355731	reads_SRR29355731	rel_abundance_SRR29355732	reads_SRR29355732	rel_abundance_SRR29355733	reads_SRR29355733	rel_abundance_SRR29355734	reads_SRR29355734	rel_abundance_SRR29355735	reads_SRR29355735	rel_abundance_SRR29355736	reads_SRR29355736	rel_abundance_SRR29355737	reads_SRR29355737	rel_abundance_SRR29355738	reads_SRR29355738	rel_abundance_SRR29355739	reads_SRR29355739	rel_abundance_SRR29355740	reads_SRR29355740	rel_abundance_SRR29355741	reads_SRR29355741	rel_abundance_SRR29355742	reads_SRR29355742	rel_abundance_SRR29355743	reads_SRR29355743	rel_abundance_SRR29355744	reads_SRR29355744	rel_abundance_SRR29355745	reads_SRR29355745	rel_abundance_SRR29355746	reads_SRR29355746	rel_abundance_SRR29355747	reads_SRR29355747	rel_abundance_SRR29355748	reads_SRR29355748	rel_abundance_SRR29355749	reads_SRR29355749	rel_abundance_SRR29355750	reads_SRR29355750	rel_abundance_SRR29355751	reads_SRR29355751	rel_abundance_SRR29355752	reads_SRR29355752	rel_abundance_SRR29355753	reads_SRR29355753
CblY, a non-orthologous displasment for Alpha-ribazole-5'-phosphate phosphatase	Coenzyme_B12_biosynthesis	Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0040763084950269	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CcdA protein (antitoxin to CcdB)	Toxin-antitoxin_systems_(other_than_RelBE_and_MazEF)	Regulation and Cell signaling	Programmed Cell Death and Toxin-antitoxin Systems	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00347101700798334	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CcdB toxin protein	Toxin-antitoxin_systems_(other_than_RelBE_and_MazEF)	Regulation and Cell signaling	Programmed Cell Death and Toxin-antitoxin Systems	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00253549695740365	1	0	0
Ccs1/ResB-related putative cytochrome C-type biogenesis protein	Biogenesis_of_c-type_cytochromes	""	Respiration	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00493461633358006	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cd(II)/Pb(II)-responsive transcriptional regulator	Cobalt-zinc-cadmium_resistance	Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00464403473737984	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cell division control protein 6	DNA_replication,_archaeal	DNA Metabolism	DNA replication	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00367782272894447	1	0	0	0.0843170320404722	3	0	0	0	0	0	0	0.00606888180852678	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0202826042863904	3	0.00464403473737984	1	0	0	0	0	0.0535188654000535	2	0	0	0	0	0	0	0	0
Cell division inhibitor	CBSS-83333.1.peg.946	""	Clustering-based subsystems	0	0	0.00630278583133745	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cell division inhibitor	Persister_Cells	""	Dormancy and Sporulation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0042025635637739	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00460808257683978	1	0.0326104679602152	8	0.00895295223599982	2	0.0138840680319334	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00253549695740365	1	0	0
Cell division initiation protein DivIVA	Bacterial_Cytoskeleton	""	Cell Division and Cell Cycle	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0042025635637739	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cell division protein BolA	Bacterial_Cell_Division	""	Clustering-based subsystems	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0040763084950269	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cell division protein FtsA	Bacterial_Cytoskeleton	""	Cell Division and Cell Cycle	0.0046628741956542	1	0.100844573301399	16	0.0156339569545052	3	0.0375214408233276	7	0	0	0.029708853238265	1	0.0372261221016805	7	0.0452693526482571	4	0.0210128178188695	5	0.0147112909157779	4	0.0172443524745646	1	0.0281056773468241	1	0	0	0	0	0	0	0.0212410863298437	7	0.00921616515367955	2	0.0489157019403228	12	0.00447647611799991	1	0.0277681360638667	8	0.0519840582221452	3	0.00966837474620516	2	0.0197384653343203	4	0.0135217361909269	2	0.185761389495193	40	0	0	0.0707714083510262	5	0.0535188654000535	2	0	0	0.0054611981868822	1	0.00760649087221095	3	0.0066613375965894	1
Cell division protein FtsB	Bacterial_Cytoskeleton	""	Cell Division and Cell Cycle	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00815261699005381	2	0	0	0	0	0	0	0	0	0.00986923266716013	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00253549695740365	1	0	0
Cell division protein FtsH (EC 3.4.24.-)	Bacterial_Cell_Division	""	Clustering-based subsystems	0.0373029935652336	8	0.252111433253498	40	0.0885924227421961	17	0.402015437392796	75	0.376940133037694	34	0.17825311942959	6	0.276536907041055	52	0.0113173381620643	1	0.159697415423408	38	0.0662008091210004	18	0.41386445938955	24	0.14052838673412	5	0.0438981562774363	3	0	0	0.0837520938023451	4	0.151722045213169	50	0.0552969909220773	12	0.187510190771238	46	0.0626706656519987	14	0.152724748351267	44	0.225264252295963	13	0.0435076863579232	9	0.330619294349864	67	0.0473260766682442	7	0.143965076858775	31	0.0883310088331009	19	0.0566171266808209	4	0.107037730800107	4	0.0462962962962963	5	0.054611981868822	10	0.124239350912779	49	0.066613375965894	10
Cell division protein FtsI [Peptidoglycan synthetase] (EC 2.4.1.129)	Bacterial_Cytoskeleton	""	Cell Division and Cell Cycle	0	0	0.0504222866506996	8	0	0	0.0696826758147513	13	0	0	0.029708853238265	1	0	0	0.0339520144861928	3	0.0168102542550956	4	0.0331004045605002	9	0	0	0	0	0.0731635937957273	5	0	0	0.0209380234505863	1	0.00303444090426339	1	0	0	0.040763084950269	10	0	0	0.00347101700798334	1	0.0693120776295269	4	0.00966837474620516	2	0.138169257340242	28	0.0135217361909269	2	0.0139321042121395	3	0.0511390051139005	11	0	0	0	0	0	0	0.0163835945606466	3	0.0152129817444219	6	0.0066613375965894	1
Cell division protein FtsJ	Bacterial_Cell_Division	""	Clustering-based subsystems	0	0	0.0189083574940124	3	0	0	0.0321612349914237	6	0	0	0	0	0.0106360348861944	2	0	0	0.0126076906913217	3	0.0110334681868334	3	0	0	0	0	0.0292654375182909	2	0	0	0	0	0	0	0	0	0.0326104679602152	8	0.00447647611799991	1	0	0	0.0173280194073817	1	0	0	0.00986923266716013	2	0	0	0	0	0.00464900046490005	1	0.0141542816702052	1	0.0267594327000268	1	0.00925925925925926	1	0.0054611981868822	1	0.0101419878296146	4	0	0
Cell division protein FtsK	Bacterial_Cytoskeleton	""	Cell Division and Cell Cycle	0	0	0	0	0	0	0.0857632933104631	16	0.0221729490022173	2	0.029708853238265	1	0	0	0.0452693526482571	4	0.0084051271275478	2	0.00735564545788893	2	0	0	0	0	0	0	0.0103788271925272	3	0	0	0.0182066454255803	6	0.00921616515367955	2	0.0733735529104843	18	0.00447647611799991	1	0.0138840680319334	4	0.0173280194073817	1	0.0145025621193077	3	0.0345423143350605	7	0.0270434723818538	4	0	0	0.00929800092980009	2	0	0	0	0	0.037037037037037	4	0	0	0.0202839756592292	8	0.0133226751931788	2
Cell division protein FtsL	Bacterial_Cytoskeleton	""	Cell Division and Cell Cycle	0	0	0	0	0	0	0.0160806174957118	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00694203401596668	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cell division protein FtsN	Bacterial_Cytoskeleton	""	Cell Division and Cell Cycle	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00253549695740365	1	0	0
Cell division protein FtsQ	Bacterial_Cytoskeleton	""	Cell Division and Cell Cycle	0	0	0	0	0	0	0.0428816466552316	8	0.0110864745011087	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00345960906417575	1	0	0	0.00910332271279017	3	0	0	0.0122289254850807	3	0	0	0.00347101700798334	1	0	0	0	0	0.00986923266716013	2	0.00676086809546346	1	0	0	0	0	0	0	0	0	0	0	0.027305990934411	5	0	0	0	0
Cell division protein FtsW	Bacterial_Cytoskeleton	""	Cell Division and Cell Cycle	0	0	0	0	0	0	0.0160806174957118	3	0.0221729490022173	2	0.029708853238265	1	0	0	0.0113173381620643	1	0.0042025635637739	1	0.00735564545788893	2	0	0	0	0	0.0146327187591455	1	0	0	0	0	0.0333788499468973	11	0	0	0.0040763084950269	1	0	0	0.00347101700798334	1	0	0	0	0	0.00493461633358006	1	0.0135217361909269	2	0.00928806947475967	2	0.0139470013947001	3	0.0141542816702052	1	0	0	0.0185185185185185	2	0	0	0.00253549695740365	1	0	0
Cell division protein FtsX	Bacterial_Cell_Division	""	Clustering-based subsystems	0	0	0	0	0	0	0.00536020583190395	1	0	0	0	0	0	0	0.0113173381620643	1	0.0126076906913217	3	0	0	0	0	0	0	0	0	0	0	0	0	0.0182066454255803	6	0.00921616515367955	2	0.0244578509701614	6	0	0	0.01041305102395	3	0	0	0	0	0.00986923266716013	2	0	0	0.00928806947475967	2	0	0	0	0	0.0267594327000268	1	0.0185185185185185	2	0	0	0.00760649087221095	3	0	0
Cell division protein FtsX	CBSS-393121.3.peg.2760	Clustering-based subsystems	Protein export?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0418760469011725	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cell division protein FtsZ (EC 3.4.24.-)	Bacterial_Cell_Division	""	Clustering-based subsystems	0	0	0	0	0	0	0	0	0	0	0	0	0.0638162093171666	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0802782981000803	3	0	0	0	0	0	0	0	0
Cell division protein FtsZ (EC 3.4.24.-)	Bacterial_Cytoskeleton	""	Cell Division and Cell Cycle	0	0	0.0378167149880247	6	0.0260565949241753	5	0.0911234991423671	17	0	0	0.05941770647653	2	0	0	0.679040289723857	60	0.0294179449464173	7	0.0809121000367782	22	0.0172443524745646	1	0	0	0	0	0.00345960906417575	1	0.0837520938023451	4	0.069792140798058	23	0.0230404128841989	5	0.0570683189303767	14	0.0134294283539997	3	0.0659493231516835	19	0.0519840582221452	3	0	0	0.0444115470022206	9	0.0338043404773173	5	0.0650164863233177	14	0.0232450023245002	5	0.184005661712668	13	0	0	0	0	0.0163835945606466	3	0.0405679513184584	16	0.033306687982947	5
Cell division protein MraZ	Bacterial_Cytoskeleton	""	Cell Division and Cell Cycle	0.0093257483913084	2	0	0	0	0	0.0804030874785592	15	0.0554323725055432	5	0	0	0.00531801744309721	1	0.124490719782707	11	0.0084051271275478	2	0.0331004045605002	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0122289254850807	3	0	0	0.0138840680319334	4	0	0	0.00483418737310258	1	0.0197384653343203	4	0	0	0	0	0.00464900046490005	1	0	0	0	0	0.0185185185185185	2	0	0	0.0101419878296146	4	0.0066613375965894	1
Cell division protein ZipA	Bacterial_Cytoskeleton	""	Cell Division and Cell Cycle	0	0	0	0	0.00521131898483506	1	0.0321612349914237	6	0.0110864745011087	1	0	0	0	0	0	0	0.0084051271275478	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00347101700798334	1	0	0	0	0	0	0	0	0	0	0	0.0139470013947001	3	0	0	0	0	0	0	0	0	0	0	0	0
Cell division topological specificity factor MinE	Bacterial_Cytoskeleton	""	Cell Division and Cell Cycle	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0182066454255803	6	0.00921616515367955	2	0	0	0	0	0	0	0	0	0	0	0.00493461633358006	1	0	0	0	0	0	0	0.0283085633404105	2	0	0	0	0	0	0	0.0101419878296146	4	0	0
Cell division transporter, ATP-binding protein FtsE (TC 3.A.5.1.1)	Bacterial_Cell_Division	""	Clustering-based subsystems	0	0	0	0	0.0104226379696701	2	0.0160806174957118	3	0.0776053215077605	7	0.029708853238265	1	0.0159540523292916	3	0.384789497510186	34	0	0	0.0110334681868334	3	0	0	0.112422709387296	4	0	0	0	0	0	0	0.0212410863298437	7	0.00460808257683978	1	0.00815261699005381	2	0	0	0.00347101700798334	1	0	0	0.00966837474620516	2	0.00493461633358006	1	0	0	0.371522778990387	80	0.00929800092980009	2	0.0566171266808209	4	0.0267594327000268	1	0	0	0.0109223963737644	2	0	0	0	0
Cell division transporter, ATP-binding protein FtsE (TC 3.A.5.1.1)	CBSS-393121.3.peg.2760	Clustering-based subsystems	Protein export?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0084051271275478	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00676086809546346	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0177484787018256	7	0	0
Cell division trigger factor (EC 5.2.1.8)	Bacterial_Cell_Division	""	Clustering-based subsystems	0.0046628741956542	1	0.0315139291566873	5	0.00521131898483506	1	0.117924528301887	22	0.177383592017738	16	0	0	0.0425441395447777	8	0.0339520144861928	3	0.0252153813826434	6	0.0331004045605002	9	0.155199172271081	9	0	0	0	0	0.0069192181283515	2	0	0	0.0637232589895312	21	0.00921616515367955	2	0.0611446274254036	15	0.00447647611799991	1	0.0208261020479	6	0.10396811644429	6	0.00483418737310258	1	0.0246730816679003	5	0.00676086809546346	1	0.0325082431616589	7	0.0185960018596002	4	0	0	0	0	0.0277777777777778	3	0.0054611981868822	1	0.0380324543610548	15	0	0
Cell envelope-associated transcriptional attenuator LytR-CpsA-Psr, subfamily A1 (as in PMID19099556)	Cell_envelope-associated_LytR-CpsA-Psr_transcriptional_attenuators	""	Regulation and Cell signaling	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0146327187591455	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00493461633358006	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cell envelope-associated transcriptional attenuator LytR-CpsA-Psr, subfamily F1 (as in PMID19099556)	Cell_envelope-associated_LytR-CpsA-Psr_transcriptional_attenuators	""	Regulation and Cell signaling	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0345423143350605	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cell envelope-associated transcriptional attenuator LytR-CpsA-Psr, subfamily F2 (as in PMID19099556)	Cell_envelope-associated_LytR-CpsA-Psr_transcriptional_attenuators	""	Regulation and Cell signaling	0	0	0	0	0	0	0	0	0.266075388026608	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00493461633358006	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cell envelope-associated transcriptional attenuator LytR-CpsA-Psr, subfamily M (as in PMID19099556)	Cell_envelope-associated_LytR-CpsA-Psr_transcriptional_attenuators	""	Regulation and Cell signaling	0	0	0	0	0	0	0	0	0	0	0	0	0.00531801744309721	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cell wall surface anchor family protein	Sortase	Cell Wall and Capsule	Gram-Positive cell wall components	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0184323303073591	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cellobiose phosphorylase (EC 2.4.1.-)	Beta-Glucoside_Metabolism	Carbohydrates	Di- and oligosaccharides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00460808257683978	1	0	0	0	0	0	0	0	0	0	0	0.0246730816679003	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00760649087221095	3	0	0
Cephalosporin hydroxylase	ZZ_gjo_need_homes	""	Miscellaneous	0	0	0	0	0	0	0.0160806174957118	3	0	0	0	0	0	0	0	0	0	0	0	0	0.0172443524745646	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0141542816702052	1	0	0	0	0	0	0	0.0177484787018256	7	0	0
Chalcone synthase (EC 2.3.1.74)	Flavanone_biosynthesis	Secondary Metabolism	Biosynthesis of phenylpropanoids	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00253549695740365	1	0	0
Chaperone protein DnaJ	Heat_shock_dnaK_gene_cluster_extended	Stress Response	Heat shock	0.0093257483913084	2	0.327744863229547	52	0.00521131898483506	1	0.0428816466552316	8	0.16629711751663	15	0.029708853238265	1	0.0106360348861944	2	0.0339520144861928	3	0.0966589619667998	23	0.0220669363736668	6	0.155199172271081	9	0	0	0.0292654375182909	2	0.00345960906417575	1	0	0	0.0182066454255803	6	0.0138242477305193	3	0.0733735529104843	18	0.00895295223599982	2	0	0	0	0	0.0241709368655129	5	0.143103873673822	29	0.0270434723818538	4	0.0325082431616589	7	0.0418410041841004	9	0	0	0.0802782981000803	3	0	0	0.0327671891212932	6	0.0405679513184584	16	0.0066613375965894	1
Chaperone protein DnaJ	Protein_chaperones	Protein Metabolism	Protein folding	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0281056773468241	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0694203401596668	20	0	0	0	0	0	0	0	0	0	0	0	0	0.0990799716914367	7	0	0	0	0	0	0	0	0	0	0
Chaperone protein DnaK	Heat_shock_dnaK_gene_cluster_extended	Stress Response	Heat shock	0.023314370978271	5	0.132358502458086	21	0.0885924227421961	17	0.402015437392796	75	0.277161862527716	25	0.05941770647653	2	0.074452244203361	14	0.3168854685378	28	0.231140996007565	55	0.353070981978669	96	0.965683738575617	56	0	0	0	0	0.0069192181283515	2	0.104690117252931	5	0.267030799575178	88	0.0737293212294364	16	0.22419696722648	55	0.0805765701239984	18	0.232558139534884	67	0.155952174666436	9	0.0338393116117181	7	0.271403898346904	55	0	0	0.222913667394232	48	0.167364016736402	36	0	0	0.160556596200161	6	0.0185185185185185	2	0.0218447927475288	4	0.593306288032454	234	0.0732747135624833	11
Chaperone protein DnaK	Protein_chaperones	Protein Metabolism	Protein folding	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.131694468832309	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0946521533364884	14	0	0	0	0	0.113234253361642	8	0	0	0	0	0	0	0	0	0	0
Chaperone protein EcpD	The_usher_protein_HtrE_fimbrial_cluster	Membrane Transport	Protein secretion system, Type VII (Chaperone/Usher pathway, CU)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0146327187591455	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chaperone protein HscA	Protein_chaperones	Protein Metabolism	Protein folding	0	0	0	0	0.00521131898483506	1	0.0160806174957118	3	0	0	0	0	0	0	0	0	0.0042025635637739	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0121377636170536	4	0	0	0.0122289254850807	3	0	0	0	0	0	0	0	0	0	0	0.00676086809546346	1	0	0	0.00464900046490005	1	0	0	0	0	0	0	0	0	0	0	0	0
Chaperone protein HscB	Protein_chaperones	Protein Metabolism	Protein folding	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0121377636170536	4	0	0	0	0	0	0	0	0	0	0	0.00483418737310258	1	0	0	0	0	0.00464403473737984	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chaperone protein HtpG	Protein_chaperones	Protein Metabolism	Protein folding	0.0093257483913084	2	0.0756334299760494	12	0.0104226379696701	2	0.096483704974271	18	0.554323725055432	50	0.05941770647653	2	0.0159540523292916	3	0.0339520144861928	3	0.1933179239336	46	0.0772342773078338	21	0.431108811864114	25	0.14052838673412	5	0.0292654375182909	2	0	0	0.0418760469011725	2	0.133515399787589	44	0.0138242477305193	3	0.175281265286157	43	0.0358118089439993	8	0.0624783061437001	18	0.0346560388147635	2	0.0483418737310258	10	0.345423143350605	70	0.0135217361909269	2	0.227557702131612	49	0.0790330079033008	17	0.495399858457183	35	0.107037730800107	4	0.0277777777777778	3	0.027305990934411	5	0.0862068965517242	34	0	0
Chemotaxis protein CheC -- inhibitor of MCP methylation	Bacterial_Chemotaxis	""	Motility and Chemotaxis	0	0	0	0	0	0	0	0	0	0	0	0	0.0106360348861944	2	0	0	0	0	0	0	0.0172443524745646	1	0	0	0	0	0	0	0	0	0.0121377636170536	4	0	0	0	0	0	0	0	0	0	0	0.00966837474620516	2	0.0148038490007402	3	0	0	0.00464403473737984	1	0	0	0.0141542816702052	1	0	0	0	0	0	0	0	0	0	0
Chemotaxis protein CheC -- inhibitor of MCP methylation	CBSS-323850.3.peg.3142	Clustering-based subsystems	Chemotaxis, response regulators	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0122289254850807	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00760649087221095	3	0	0
Chemotaxis protein CheD	Bacterial_Chemotaxis	""	Motility and Chemotaxis	0	0	0	0	0	0	0.0268010291595197	5	0	0	0	0	0	0	0	0	0.0084051271275478	2	0	0	0	0	0.0281056773468241	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01041305102395	3	0	0	0	0	0	0	0.00676086809546346	1	0	0	0	0	0.0141542816702052	1	0	0	0	0	0	0	0.00253549695740365	1	0	0
Chemotaxis protein CheV (EC 2.7.3.-)	Flagellar_motility	Motility and Chemotaxis	Flagellar motility in Prokaryota	0.0093257483913084	2	0.0378167149880247	6	0.0104226379696701	2	0.112564322469983	21	0.0332594235033259	3	0.029708853238265	1	0.0265900872154861	5	0.0565866908103214	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0121377636170536	4	0.00460808257683978	1	0.0529920104353498	13	0	0	0.0242971190558834	7	0	0	0	0	0.0148038490007402	3	0	0	0.0232201736868992	5	0.00929800092980009	2	0	0	0	0	0.0833333333333333	9	0.0218447927475288	4	0.0101419878296146	4	0	0
Chemotaxis protein CheX	Bacterial_Chemotaxis	""	Motility and Chemotaxis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0172443524745646	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0148038490007402	3	0	0	0	0	0.00464900046490005	1	0	0	0	0	0	0	0	0	0	0	0	0
Chemotaxis protein methyltransferase CheR (EC 2.1.1.80)	Bacterial_Chemotaxis	""	Motility and Chemotaxis	0	0	0.0126055716626749	2	0.00521131898483506	1	0.0160806174957118	3	0	0	0	0	0.0265900872154861	5	0.0113173381620643	1	0.0294179449464173	7	0	0	0.0172443524745646	1	0.0562113546936481	2	0.0146327187591455	1	0.00345960906417575	1	0	0	0.0788954635108481	26	0.0138242477305193	3	0.0611446274254036	15	0	0	0.0520652551197501	15	0.0173280194073817	1	0	0	0.0296076980014804	6	0.0202826042863904	3	0.027864208424279	6	0.0185960018596002	4	0	0	0	0	0.0462962962962963	5	0.0436895854950576	8	0.0456389452332657	18	0.0066613375965894	1
Chemotaxis regulator - transmits chemoreceptor signals to flagelllar motor components CheY	Bacterial_Chemotaxis	""	Motility and Chemotaxis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0346560388147635	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chemotaxis regulator - transmits chemoreceptor signals to flagelllar motor components CheY	Flagellar_motility	Motility and Chemotaxis	Flagellar motility in Prokaryota	0.0046628741956542	1	0	0	0.0208452759393402	4	0.0643224699828473	12	0.0110864745011087	1	0	0	0.106360348861944	20	0.248981439565414	22	0.0126076906913217	3	0.00735564545788893	2	0	0	0.0843170320404722	3	0	0	0	0	0	0	0.0424821726596875	14	0.0184323303073591	4	0.0774498614055112	19	0.00447647611799991	1	0.00347101700798334	1	0	0	0.0290051242386155	6	0.0345423143350605	7	0.0338043404773173	5	0.0139321042121395	3	0	0	0.0424628450106157	3	0.0535188654000535	2	0	0	0.0163835945606466	3	0.0101419878296146	4	0	0
