enzyme	SEED_subsystem	SEED_subsystem_functional_category	description	SRR29355722	SRR29355723	SRR29355724	SRR29355725	SRR29355726	SRR29355727	SRR29355728	SRR29355729	SRR29355730	SRR29355731	SRR29355732	SRR29355733	SRR29355734	SRR29355735	SRR29355736	SRR29355737	SRR29355738	SRR29355739	SRR29355740	SRR29355741	SRR29355742	SRR29355743	SRR29355744	SRR29355745	SRR29355746	SRR29355747	SRR29355748	SRR29355749	SRR29355750	SRR29355751	SRR29355752	SRR29355753
Cobalt-precorrin-6x reductase (EC 1.3.1.54)	Coenzyme_B12_biosynthesis	Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cobalt-precorrin-6y C15-methyltransferase [decarboxylating] (EC 2.1.1.-)	Coenzyme_B12_biosynthesis	Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Cobalt-precorrin-6y C5-methyltransferase (EC 2.1.1.-)	Coenzyme_B12_biosynthesis	Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0
Cobalt-precorrin-8x methylmutase (EC 5.4.1.2)	Coenzyme_B12_biosynthesis	Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	1	1	1	1	0	0	0	0	0	0
Cobalt-zinc-cadmium resistance protein	Cobalt-zinc-cadmium_resistance	Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	0	0	0	1	1	0	5	1	0	0	0	0	1	0	1	0	2	6	0	0	1	0	0	0	0	0	0	0	0	3	1	1
Cobalt-zinc-cadmium resistance protein CzcA	Cobalt-zinc-cadmium_resistance	Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	4	16	2	18	6	6	9	4	2	5	4	1	1	1	0	32	1	35	3	10	10	3	10	3	26	5	0	4	7	21	26	1
Cobalt-zinc-cadmium resistance protein CzcD	Cobalt-zinc-cadmium_resistance	Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	0	2	0	0	2	0	0	1	1	8	0	2	1	0	0	8	2	12	0	0	0	1	1	1	7	0	0	1	0	2	7	1
Cobalt/zinc/cadmium efflux RND transporter, membrane fusion protein, CzcB family	Cobalt-zinc-cadmium_resistance	Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	0	0	0	0	0	0	5	0	0	3	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	2	0
Cobyric acid synthase	Cobalamin_synthesis	Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Cobyric acid synthase	Coenzyme_B12_biosynthesis	Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	1	0	0	0	0	1	0	39	2	0	0	1	0	0	0	2	0	7	0	4	0	0	0	0	0	0	0	1	1	0	4	1
Cobyrinic acid A,C-diamide synthase	Cobalamin_synthesis	Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cobyrinic acid A,C-diamide synthase	Coenzyme_B12_biosynthesis	Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	1	0	0	1	0	0	0	1	2	0	1	2	0	0	0	0
Coenzyme F(420)H(2) dehydrogenase (methanophenazine) subunit FpoA	Coenzyme_F420-H2_dehydrogenase_(methanophenazine)	Respiration	Electron donating reactions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	12	0	3	0	0	0	2
Coenzyme F(420)H(2) dehydrogenase (methanophenazine) subunit FpoB	Coenzyme_F420-H2_dehydrogenase_(methanophenazine)	Respiration	Electron donating reactions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0
Coenzyme F(420)H(2) dehydrogenase (methanophenazine) subunit FpoC	Coenzyme_F420-H2_dehydrogenase_(methanophenazine)	Respiration	Electron donating reactions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2
Coenzyme F(420)H(2) dehydrogenase (methanophenazine) subunit FpoD	Coenzyme_F420-H2_dehydrogenase_(methanophenazine)	Respiration	Electron donating reactions	0	0	0	0	0	0	0	0	0	1	12	1	0	0	5	13	1	4	0	7	0	0	1	4	2	0	1	0	0	0	0	0
Coenzyme F(420)H(2) dehydrogenase (methanophenazine) subunit FpoF	Coenzyme_F420-H2_dehydrogenase_(methanophenazine)	Respiration	Electron donating reactions	0	0	0	0	0	0	0	1	0	0	3	0	0	0	39	1	1	0	0	10	0	0	3	13	7	1	23	2	0	0	0	2
Coenzyme F(420)H(2) dehydrogenase (methanophenazine) subunit FpoH	Coenzyme_F420-H2_dehydrogenase_(methanophenazine)	Respiration	Electron donating reactions	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	1
Coenzyme F(420)H(2) dehydrogenase (methanophenazine) subunit FpoI	Coenzyme_F420-H2_dehydrogenase_(methanophenazine)	Respiration	Electron donating reactions	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
Coenzyme F(420)H(2) dehydrogenase (methanophenazine) subunit FpoJ	Coenzyme_F420-H2_dehydrogenase_(methanophenazine)	Respiration	Electron donating reactions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	21	0	0	0	0	2
Coenzyme F(420)H(2) dehydrogenase (methanophenazine) subunit FpoJ2	Coenzyme_F420-H2_dehydrogenase_(methanophenazine)	Respiration	Electron donating reactions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
Coenzyme F(420)H(2) dehydrogenase (methanophenazine) subunit FpoK	Coenzyme_F420-H2_dehydrogenase_(methanophenazine)	Respiration	Electron donating reactions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	5	0	0	0	3	0
Coenzyme F(420)H(2) dehydrogenase (methanophenazine) subunit FpoL	Coenzyme_F420-H2_dehydrogenase_(methanophenazine)	Respiration	Electron donating reactions	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	6	0	0	5	0	0	0	4	4
Coenzyme F(420)H(2) dehydrogenase (methanophenazine) subunit FpoM	Coenzyme_F420-H2_dehydrogenase_(methanophenazine)	Respiration	Electron donating reactions	0	0	0	0	0	0	0	0	0	0	2	0	0	2	2	0	1	0	0	1	0	0	0	9	2	0	10	1	0	0	0	0
Coenzyme F(420)H(2) dehydrogenase (methanophenazine) subunit FpoN	Coenzyme_F420-H2_dehydrogenase_(methanophenazine)	Respiration	Electron donating reactions	0	0	0	0	0	1	0	0	1	0	3	2	1	0	0	54	0	0	0	1	0	0	0	6	0	1	13	0	0	0	0	3
Coenzyme F(420)H(2) dehydrogenase (methanophenazine) subunit FpoO	Coenzyme_F420-H2_dehydrogenase_(methanophenazine)	Respiration	Electron donating reactions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0
Coenzyme F420 hydrogenase maturation protease (EC 3.4.24.-)	Hydrogenases	Respiration	Electron donating reactions	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coenzyme F420-1:L-glutamate ligase	Coenzyme_F420_synthesis	Cofactors, Vitamins, Prosthetic Groups, Pigments	Coenzyme F420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
Coenzyme F420-dependent oxidoreductase	Anaerobic_respiratory_reductases	Respiration	Electron accepting reactions	0	0	3	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0
Coenzyme PQQ synthesis protein A	Pyrroloquinoline_Quinone_biosynthesis	Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	0	1	0	1	13	0	0	0	1	0	0	0	0	0	23	2	0	14	0	2	0	0	0	0	0	1	1	0	0	0	0	0
Coenzyme PQQ synthesis protein B	Pyrroloquinoline_Quinone_biosynthesis	Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	1	0	0	0	0	0	0	0	0	0	0	3	0
Coenzyme PQQ synthesis protein C	Pyrroloquinoline_Quinone_biosynthesis	Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	0	4	7	23	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	1	0	0	0	0	0	1	0
Coenzyme PQQ synthesis protein D	Pyrroloquinoline_Quinone_biosynthesis	Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	0	0	3	13	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coenzyme PQQ synthesis protein E	Pyrroloquinoline_Quinone_biosynthesis	Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	0	15	2	7	0	0	2	0	0	0	0	0	0	1	0	3	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Colanic acid biosynthesis glycosyl transferase WcaA	Colanic_acid_biosynthesis	Cell Wall and Capsule	Capsular and extracellular polysacchrides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
Colanic acid biosynthesis glycosyl transferase WcaL	Colanic_acid_biosynthesis	Cell Wall and Capsule	Capsular and extracellular polysacchrides	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cold shock protein CspA	Cold_shock,_CspA_family_of_proteins	Stress Response	Cold shock	3	7	3	57	9	1	20	8	14	8	3	2	2	1	17	16	7	32	4	39	0	1	54	1	15	13	0	0	1	8	65	5
Cold shock protein CspB	Cold_shock,_CspA_family_of_proteins	Stress Response	Cold shock	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Cold shock protein CspC	Cold_shock,_CspA_family_of_proteins	Stress Response	Cold shock	0	0	3	11	1	0	4	0	8	1	2	0	0	0	0	4	2	2	1	2	0	0	2	0	1	2	0	0	1	0	7	1
Cold shock protein CspD	Cold_shock,_CspA_family_of_proteins	Stress Response	Cold shock	0	9	2	21	0	0	4	0	2	0	0	0	0	0	1	11	5	4	1	5	1	0	0	6	3	0	0	0	4	1	4	1
Cold shock protein CspE	Cold_shock,_CspA_family_of_proteins	Stress Response	Cold shock	0	1	15	10	12	0	20	2	2	0	0	0	1	0	0	2	3	6	4	2	2	0	5	1	0	6	0	0	0	4	6	2
Cold shock protein CspF	Cold_shock,_CspA_family_of_proteins	Stress Response	Cold shock	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	5	0	0	1	0	1	0	0	0	0	0	1	0
Cold shock protein CspG	Cold_shock,_CspA_family_of_proteins	Stress Response	Cold shock	0	0	2	8	1	0	3	0	8	3	0	0	0	1	1	10	7	8	2	8	1	1	5	0	1	2	0	0	0	3	10	3
Cold-shock DEAD-box protein A	ATP-dependent_RNA_helicases,_bacterial	RNA Metabolism	RNA processing and modification	2	6	6	1	11	0	7	10	23	21	15	2	6	0	3	10	5	23	0	31	2	2	43	2	34	7	1	4	8	0	41	6
Colicin I receptor precursor	Ton_and_Tol_transport_systems	""	Membrane Transport	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Collagen-like surface protein	Streptococcus_pyogenes_Virulome	""	Virulence, Disease and Defense	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ComF operon protein A, DNA transporter ATPase	Gram_Positive_Competence	DNA Metabolism	DNA uptake, competence	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0
Competence protein F homolog, phosphoribosyltransferase domain	Glutaredoxins	Stress Response	Oxidative stress	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0
Competence-stimulating peptide ABC transporter ATP-binding protein ComA	Competence_in_Streptococci	DNA Metabolism	DNA uptake, competence	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
Competence-stimulating peptide ABC transporter permease protein ComB	Competence_in_Streptococci	DNA Metabolism	DNA uptake, competence	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Competence/damage-inducible protein CinA	CBSS-257314.1.peg.676	Clustering-based subsystems	Two related proteases	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Conjugative transfer protein TrbA	Type_4_secretion_and_conjugative_transfer	Virulence	Type III, Type IV, Type VI, ESAT secretion systems	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	1	0
Conjugative transfer protein TrbB	Type_4_secretion_and_conjugative_transfer	Virulence	Type III, Type IV, Type VI, ESAT secretion systems	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Conjugative transfer protein TrbD	Type_4_secretion_and_conjugative_transfer	Virulence	Type III, Type IV, Type VI, ESAT secretion systems	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Conjugative transfer protein TrbE	Type_4_secretion_and_conjugative_transfer	Virulence	Type III, Type IV, Type VI, ESAT secretion systems	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	16	0	2	0	0	0	0	0	0	0	1	1	0	1	0
Conjugative transfer protein TrbF	Type_4_secretion_and_conjugative_transfer	Virulence	Type III, Type IV, Type VI, ESAT secretion systems	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Conjugative transfer protein TrbG	Type_4_secretion_and_conjugative_transfer	Virulence	Type III, Type IV, Type VI, ESAT secretion systems	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Conjugative transfer protein TrbI	Type_4_secretion_and_conjugative_transfer	Virulence	Type III, Type IV, Type VI, ESAT secretion systems	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Conjugative transfer protein TrbJ	Type_4_secretion_and_conjugative_transfer	Virulence	Type III, Type IV, Type VI, ESAT secretion systems	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Conjugative transfer protein TrbL	Type_4_secretion_and_conjugative_transfer	Virulence	Type III, Type IV, Type VI, ESAT secretion systems	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Conjugative transfer protein TrbN	Type_4_secretion_and_conjugative_transfer	Virulence	Type III, Type IV, Type VI, ESAT secretion systems	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Conjugative transfer protein s043	Type_4_secretion_and_conjugative_transfer	Virulence	Type III, Type IV, Type VI, ESAT secretion systems	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Conjugative transposon protein TraA	Conjugative_transposon,_Bacteroidales	Phages, Prophages, Transposable elements, Plasmids	Transposable elements	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Conjugative transposon protein TraE	Conjugative_transposon,_Bacteroidales	Phages, Prophages, Transposable elements, Plasmids	Transposable elements	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
Conjugative transposon protein TraG	Conjugative_transposon,_Bacteroidales	Phages, Prophages, Transposable elements, Plasmids	Transposable elements	0	0	0	4	5	0	0	0	0	1	0	1	0	0	0	1	3	0	0	0	0	0	1	3	0	0	0	0	0	0	3	0
Conjugative transposon protein TraI	Conjugative_transposon,_Bacteroidales	Phages, Prophages, Transposable elements, Plasmids	Transposable elements	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0
Conjugative transposon protein TraJ	Conjugative_transposon,_Bacteroidales	Phages, Prophages, Transposable elements, Plasmids	Transposable elements	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Conjugative transposon protein TraN	Conjugative_transposon,_Bacteroidales	Phages, Prophages, Transposable elements, Plasmids	Transposable elements	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Conjugative transposon protein TraQ	Conjugative_transposon,_Bacteroidales	Phages, Prophages, Transposable elements, Plasmids	Transposable elements	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Conserved hypothetical protein (perhaps related to histidine degradation)	Histidine_Degradation	Amino Acids and Derivatives	Histidine Metabolism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Conserved hypothetical protein probably involved in assimilatory sulfate reduction	Inorganic_Sulfur_Assimilation	Sulfur Metabolism	Inorganic sulfur assimilation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Conserved protein YcjX with nucleoside triphosphate hydrolase domain	A_conserved_operon_linked_to_TyrR_and_possibly_involved_in_virulence	Regulation and Cell signaling	Regulation of virulence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Conserved uncharacterized protein CreA	Tolerance_to_colicin_E2	Virulence, Disease and Defense	Bacteriocins, ribosomally synthesized antibacterial peptides	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CopG protein	Copper_homeostasis	Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	1	0	0	3	0	0	1	4	0	0	0	0	0	0	0	3	0	1	1	0	0	1	0	0	0	0	0	0	0	2	2	0
Copper chaperone	Copper_homeostasis	Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	2	0	1	0
Copper metallochaperone, bacterial analog of Cox17 protein	Biogenesis_of_cytochrome_c_oxidases	""	Respiration	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Copper resistance protein B	Copper_homeostasis	Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	12	0	0	0
Copper resistance protein C precursor	Copper_homeostasis	Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
Copper resistance protein D	Copper_homeostasis	Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Copper sensory histidine kinase CpxA	Orphan_regulatory_proteins	""	Regulation and Cell signaling	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
Copper sensory histidine kinase CusS	Cobalt-zinc-cadmium_resistance	Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
Copper tolerance protein	Copper_homeostasis	Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	4	1	0	0	1	2	2	0
Copper-containing nitrite reductase (EC 1.7.2.1)	Denitrification	""	Nitrogen Metabolism	0	8	0	0	2	0	2	0	1	0	0	0	2	0	0	1	0	4	0	1	1	0	5	0	5	0	0	1	0	0	5	0
Copper-sensing two-component system response regulator CpxR	Orphan_regulatory_proteins	""	Regulation and Cell signaling	0	4	1	14	4	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0
Copper-sensing two-component system response regulator CusR	Cobalt-zinc-cadmium_resistance	Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Copper-translocating P-type ATPase (EC 3.6.3.4)	BlaR1_Family_Regulatory_Sensor-transducer_Disambiguation	Virulence	Resistance to antibiotics and toxic compounds	0	20	0	0	0	0	0	3	0	0	0	1	0	4	0	119	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	2
Copper-translocating P-type ATPase (EC 3.6.3.4)	Copper_homeostasis	Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	1	0	0	53	5	1	4	0	22	15	12	0	9	0	5	0	10	73	10	0	1	5	10	6	28	11	8	4	15	11	56	0
Coproporphyrinogen III oxidase, aerobic (EC 1.3.3.3)	Heme_and_Siroheme_Biosynthesis	Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	0	2	0	6	0	0	0	0	2	0	0	1	0	0	2	0	0	3	0	1	1	0	0	1	1	2	0	0	0	0	2	0
Coproporphyrinogen III oxidase, oxygen-independent (EC 1.3.99.22)	Heme_and_Siroheme_Biosynthesis	Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	1	0	0	7	2	2	0	0	1	0	0	0	2	0	0	6	0	10	0	1	0	0	9	5	0	1	0	0	0	0	0	0
Coupling protein VirD4, ATPase required for T-DNA transfer	Plasmid-encoded_T-DNA_transfer	Phages, Prophages, Transposable elements, Plasmids	Plasmid related functions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Creatinase (EC 3.5.3.3)	Creatine_and_Creatinine_Degradation	""	Amino Acids and Derivatives	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Creatinine amidohydrolase (EC 3.5.2.10)	Creatine_and_Creatinine_Degradation	""	Amino Acids and Derivatives	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	1	0	0
Crossover junction endodeoxyribonuclease RuvC (EC 3.1.22.4)	DNA-replication	DNA Metabolism	DNA replication	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0
Crossover junction endodeoxyribonuclease RuvC (EC 3.1.22.4)	RuvABC_plus_a_hypothetical	DNA Metabolism	DNA recombination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
Crotonobetaine carnitine-CoA ligase (EC 6.3.2.-)	Carnitine_Metabolism_in_Microorganisms	Fatty Acids, Lipids, and Isoprenoids	Fatty acids	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
Crotonyl-CoA carboxylase/reductase, ethylmalonyl-CoA producing	Ethylmalonyl-CoA_pathway_of_C2_assimilation	Carbohydrates	Central carbohydrate metabolism	0	0	0	0	0	0	2	0	6	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	5	1	0	0	0	8	0
Cryptochrome	DNA_repair,_bacterial_photolyase	DNA Metabolism	DNA repair	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cu(I)-responsive transcriptional regulator	Copper_homeostasis	Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Curli production assembly/transport component CsgG	Curli_production	Membrane Transport	Protein secretion system, Type VIII (Extracellular nucleation/precipitation pathway, ENP)	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Cyanate ABC transporter, permease protein	Cyanate_hydrolysis	""	Nitrogen Metabolism	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Cyanate ABC transporter, substrate binding protein	Cyanate_hydrolysis	""	Nitrogen Metabolism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Cyanate hydratase (EC 4.2.1.104)	Cyanate_hydrolysis	""	Nitrogen Metabolism	0	0	0	19	0	0	0	0	0	0	2	0	0	0	0	5	0	1	0	0	0	0	6	0	0	0	0	0	0	1	0	0
Cyanate transport protein CynX	Cyanate_hydrolysis	""	Nitrogen Metabolism	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyanobacteria-specific RpoD-like sigma factor, type-4	Transcription_factors_cyanobacterial_RpoD-like_sigma_factors	RNA Metabolism	Transcription	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyanoglobin	Bacterial_hemoglobins	""	Stress Response	4	26	3	17	0	0	0	1	16	16	8	0	9	0	0	1	2	58	0	9	0	1	88	0	25	8	0	0	0	4	12	2
Cyanophycin synthase (EC 6.3.2.29)(EC 6.3.2.30)	Cyanophycin_Metabolism	Amino Acids and Derivatives	Arginine; urea cycle, polyamines	0	0	1	0	8	0	0	0	1	0	0	0	0	0	0	0	3	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0
